title,country,premiere,premiere_pl,director,genre,length,rate_fwb,votes_fwb,want_fwb,boxoffice,budget,gross_usa,rate_imdb,votes_imdb,oscar_nom,oscar_won,rasp_nom,rasp_won,gold_nom,gold_won,gga,bafta
Skazani na Shawshank,USA,1994,1995,Frank Darabont,Dramat,142,8.8,803151,99345,59841469,25000000,28341469,9.3,1886245,7,0,0,0,0,0,0,0
Wladca Pierscieni Druzyna Pierscienia,USA,2001,2002,Peter Jackson,Przygodowy,178,8.0,649513,22922,871530324,93000000,315544750,8.8,1369374,9,4,0,0,0,0,0,5
Pulp Fiction,USA,1994,1995,Quentin Tarantino,Gangsterski,154,8.4,517810,57465,213928762,8000000,107928762,8.9,1475445,6,1,0,0,0,1,1,2
Zielona mila,USA,1999,2000,Frank Darabont,Dramat,188,8.6,897171,72290,286801374,60000000,136801374,8.5,893419,4,0,0,0,0,0,0,0
13 Dzielnica,Francja,2004,2005,Pierre Morel,Akcja,85,7.1,1589191,17142,9584131,12000000,1200216,7.2,59521,0,0,0,0,0,0,0,0
Milczenie owiec,USA,1991,1991,Jonathan Demme,Thriller,118,8.2,606522,72760,272742922,19000000,130742922,8.6,1004258,2,5,0,0,1,0,1,2
Titanic,USA,1997,1998,James Cameron,Melodramat,194,7.3,701627,18033,2187463944,200000000,659363944,7.8,872617,3,11,0,0,0,0,4,0
Django,USA,2012,2013,Quentin Tarantino,Western,165,8.3,411607,45356,425368238,100000000,162805434,8.4,1086007,3,2,0,0,0,0,2,2
Szosty zmysl,USA,1999,2000,M. Night Shyamalan,Thriller,107,7.8,585174,59987,672806292,40000000,293506292,8.1,775318,6,0,0,0,0,0,0,0
Requiem dla snu,USA,2000,2001,Darren Aronofsky,Dramat,102,7.8,619533,115164,7390108,4500000,3635482,8.3,638756,1,0,0,0,0,0,0,0
Slumdog. Milioner z ulicy,Wielka Brytania,2008,2009,Danny Boyle,Dramat,120,7.4,554642,56043,377910544,15000000,141319544,8.0,696541,2,8,0,0,0,0,4,7
Wiezien nienawisci,USA,1998,1998,Tony Kaye,Dramat,119,8.2,275386,93139,23875127,7500000,6719864,8.5,868764,1,0,0,0,0,0,0,0
300,USA,2006,2007,Zack Snyder,Dramat,117,7.6,360844,21490,456068181,65000000,210614939,7.7,653955,0,0,0,0,0,0,0,0
Poszukiwacze zaginionej Arki,USA,1981,1983,Steven Spielberg,Przygodowy,115,7.7,243241,15817,389925971,18000000,248159971,8.5,732572,4,5,0,0,0,0,0,1
Cast Away poza swiatem,USA,2000,2001,Robert Zemeckis,Dramat,143,7.5,529737,60081,429632142,90000000,233632142,7.8,434973,2,0,0,0,0,0,1,0
Buntownik z wyboru,USA,1997,1998,Gus Van Sant,Dramat,126,8.1,229520,60372,225933435,10000000,138433435,8.3,686477,7,2,0,0,0,0,1,0
Szklana pulapka,USA,1988,1989,John McTiernan,Sensacyjny,131,7.5,197596,11746,140767956,28000000,83008852,8.2,655121,4,0,0,0,0,0,0,0
Uprowadzona,Francja,2008,2008,Pierre Morel,Sensacyjny,93,7.7,316011,27997,226830568,25000000,145000989,7.8,513142,0,0,0,0,0,0,0,0
Indiana Jones i ostatnia krucjata,USA,1989,1990,Steven Spielberg,Przygodowy,127,7.7,221437,15404,474171806,48000000,197171806,8.3,573824,2,1,0,0,0,0,0,0
Za wszelka cene,USA,2004,2005,Clint Eastwood,Dramat,132,7.8,252023,77229,216763646,30000000,100492203,8.1,535671,3,4,0,0,0,0,2,0
Mr. & Mrs. Smith,USA,2005,2005,Doug Liman,Akcja,120,6.7,387122,19067,478207520,110000000,186336279,6.5,383917,0,0,0,0,0,0,0,0
Trainspotting,Wielka Brytania,1996,1997,Danny Boyle,Dramat,94,7.8,205579,62201,71991080,3500000,16501785,8.2,537621,1,0,0,0,0,0,0,1
Siedem dusz,USA,2008,2009,Gabriele Muccino,Dramat,123,8.0,439196,100936,168168201,55000000,69951824,7.7,252368,0,0,0,0,0,0,0,0
Kac Vegas w Bangkoku,USA,2011,2011,Todd Philllips,Komedia,102,7.0,282645,12258,586764305,80000000,254464305,6.5,405652,0,0,2,0,0,0,0,0
Dzien Niepodleglosci,USA,1996,1996,Roland Emmerich,Akcja,145,7.2,208048,16023,817400891,75000000,306169268,7.0,465245,1,1,1,0,0,0,0,0
Drive,USA,2011,2011,Nicolas Winding Refn,Akcja,100,7.1,189227,39127,76175166,15000000,35060689,7.8,479981,1,0,0,0,1,1,0,0
Labirynt,USA,2013,2013,Denic Villeneuve,Thriller,153,7.9,193261,49490,122126687,46000000,61002302,8.1,460205,1,0,0,0,0,0,0,0
Oceans Eleven Ryzykowna gra,USA,2001,2002,Steven Soderbergh,Komedia,134,7.6,194185,15694,450717150,85000000,183417150,7.8,438872,0,0,0,0,0,0,0,0
Operacja Argo,USA,2012,2012,Ben Affleck,Thriller,120,7.3,121997,29068,232325503,44500000,136025503,7.7,496646,4,3,0,0,0,0,2,3
Goraczka,USA,1995,1996,Michael Mann,Sensacyjny,170,8.1,131440,43290,187436818,60000000,67436818,8.2,476008,0,0,0,0,0,0,0,0
Psychoza,USA,1960,1960,Alfred Hitchcock ,Thriller,109,8.1,116175,57346,50000000,806947,32000000,8.5,475984,4,0,0,0,0,0,1,0
Ostatni samuraj,USA,2003,2004,Edward Zwick,Dramat,154,7.6,247168,21444,456758981,140000000,111110575,7.7,343812,4,0,0,0,0,0,0,0
Stowarzyszenie Umarlych Poetow,USA,1989,1990,Peter Weir,Dramat,128,7.8,277632,71969,235860116,16400000,95860116,8.0,310704,3,1,0,0,0,0,0,2
Armageddon,USA,1998,1998,Michael Bay,Katastroficzny,150,7.5,232146,15053,553709788,140000000,201578182,6.6,347383,4,0,6,1,0,0,0,0
Terminal,USA,2004,2004,Steven Spielberg,Komedia,128,7.4,214565,23527,219417255,60000000,77872883,7.3,335126,0,0,0,0,0,0,0,0
Nienawistna osemka,USA,2015,2016,Quentin Tarantino,Western,187,7.6,168137,48709,155760117,44000000,54117416,7.8,371204,2,1,0,0,0,0,1,1
Millerowie,USA,2013,2013,Rawson Marshall Thurber,Komedia,110,7.1,188097,13403,269994119,37000000,150394119,7.0,346004,0,0,0,0,0,0,0,1
Obecnosc,USA,2013,2013,James Wan ,Horror,112,7.4,184800,18891,318000141,20000000,137400141,7.5,348644,0,0,0,0,0,0,0,0
American Psycho,USA,2000,2000,Mary Harron,Thriller,101,7.3,134199,53895,34266564,7000000,15070285,7.6,395828,0,0,0,0,0,0,0,0
Zapach kobiety,USA,1992,1992,Martin Brest,Dramat,157,8.1,313949,92559,134095253,31000000,63895607,8.0,212417,3,1,0,0,0,0,3,0
Ace Ventura Psi detektyw,USA,1994,1994,Tom Shadyac,Komedia,86,6.3,286848,7842,107217396,12000000,72217000,6.9,235911,0,0,1,0,0,0,0,0
Indiana Jones i swiatynia Zaglady,USA,1984,1990,Steven Spielberg,Przygodowy,118,7.6,136807,7515,333107271,28000000,179870271,7.6,367270,1,1,0,0,0,0,0,1
Indiana Jones i Krolestwo Krysztalowej Czaszki,USA,2008,2008,Steven Spielberg,Przygodowy,122,6.6,122442,5912,786636033,185000000,317101119,6.2,362091,0,0,0,1,0,0,0,0
Skarb narodow,USA,2004,2005,Jon Turteltaub,Przygodowy,131,7.1,210607,11747,347512318,100000000,173008894,6.9,270487,0,0,0,0,0,0,0,0
Oldboy,Korea Poludniowa,2003,2004,Chan-wook Park  ,Thriller,120,7.7,72868,37819,14272524,3000000,707481,8.4,406776,0,0,0,0,1,0,0,0
1408,USA,2007,2007,Mikael Hafstrom,Horror,112,6.8,250233,59489,131998242,25000000,71985628,6.8,228717,0,0,0,0,0,0,0,0
Gra,USA,1997,1997,David Fincher,Thriller,128,7.9,181400,68173,109423648,50000000,48323648,7.8,289075,0,0,0,0,0,0,0,0
Szybcy i wsciekli 5,USA,2011,2011,Justin Lin,Akcja,130,7.5,160251,12713,626137675,125000000,209837675,7.3,310074,0,0,0,0,0,0,0,0
Szybcy i wsciekli 6,USA,2013,2013,Justin Lin,Akcja,130,7.4,138606,14348,788679850,160000000,238679850,7.1,327734,0,0,0,0,0,0,0,0
Zywot Briana,Wielka Brytania,1979,2004,Terry Jones,Komedia,94,7.9,157850,31972,20045115,4000000,20045115,8.1,300303,0,0,0,0,0,0,0,0
Mgla,USA,2007,2008,Frank Darabont,Horror,126,5.8,215236,49814,57293715,18000000,25593755,7.2,242419,0,0,0,0,0,0,0,0
Filadelfia,USA,1993,1993,Jonathan Demme,Dramat,125,7.9,262937,81706,206678440,26000000,77324422,7.7,193294,3,2,0,0,1,0,2,0
Straszny film,USA,2000,2000,Keenen Ivory Wayans,Komedia,90,6.3,249676,8526,278019771,19000000,157019771,6.2,201500,0,0,0,0,0,0,0,0
