title,country,premiere,premiere_pl,director,genre,length,rate_fwb,votes_fwb,want_fwb,boxoffice,budget,gross_usa,rate_imdb,votes_imdb,oscar_nom,oscar_won,rasp_nom,rasp_won,gold_nom,gold_won,gga,bafta
Skazani na Shawshank,USA,1994,1995,Frank Darabont,Dramat,142,8.8,803 151,99 345,59 841 469,25 000 000,28 341 469,9.3,1 886 245,7,0,0,0,0,0,0,0
Wladca Pierscieni Druzyna Pierscienia,USA,2001,2002,Peter Jackson,Przygodowy,178,8,649 513,22 922,871 530 324,93 000 000,315 544 750,8.8,1 369 374,9,4,0,0,0,0,0,5
Pulp Fiction,USA,1994,1995,Quentin Tarantino,Gangsterski,154,8.4,517 810,57 465,213 928 762,8 000 000,107 928 762,8.9,1 475 445,6,1,0,0,0,1,1,2
Zielona mila,USA,1999,2000,Frank Darabont,Dramat,188,8.6,897 171,72 290,286 801 374,60 000 000,136 801 374,8.5,893 419,4,0,0,0,0,0,0,0
13 Dzielnica,Francja,2004,2005,Pierre Morel,Akcja,85,7.1,1 589 191,17 142,9 584 131,12 000 000,1 200 216,7.2,59 521,0,0,0,0,0,0,0,0
Milczenie owiec,USA,1991,1991,Jonathan Demme,Thriller,118,8.2,606 522,72 760,272 742 922,19 000 000,130 742 922,8.6,1 004 258,2,5,0,0,1,0,1,2
Titanic,USA,1997,1998,James Cameron,Melodramat,194,7.3,701 627,18 033,2 187 463 944,200 000 000,659 363 944,7.8,872 617,3,11,0,0,0,0,4,0
Django,USA,2012,2013,Quentin Tarantino,Western,165,8.3,411 607,45 356,425 368 238,100 000 000,162 805 434,8.4,1 086 007,3,2,0,0,0,0,2,2
Szosty zmysl,USA,1999,2000,M. Night Shyamalan,Thriller,107,7.8,585 174,59 987,672 806 292,40 000 000,293 506 292,8.1,775 318,6,0,0,0,0,0,0,0
Requiem dla snu,USA,2000,2001,Darren Aronofsky,Dramat,102,7.8,619 533,115 164,7 390 108,4 500 000,3 635 482,8.3,638 756,1,0,0,0,0,0,0,0
Slumdog. Milioner z ulicy,Wielka Brytania,2008,2009,Danny Boyle,Dramat,120,7.4,554 642,56 043,377 910 544,15 000 000,141 319 544,8,696 541,2,8,0,0,0,0,4,7
Wiezien nienawisci,USA,1998,1998,Tony Kaye,Dramat,119,8.2,275 386,93 139,23 875 127,7 500 000,6 719 864,8.5,868 764,1,0,0,0,0,0,0,0
300,USA,2006,2007,Zack Snyder,Dramat,117,7.6,360 844,21 490,456 068 181,65 000 000,210 614 939,7.7,653 955,0,0,0,0,0,0,0,0
Poszukiwacze zaginionej Arki,USA,1981,1983,Steven Spielberg,Przygodowy,115,7.7,243 241,15 817,389 925 971,18 000 000,248 159 971,8.5,732 572,4,5,0,0,0,0,0,1
Cast Away poza swiatem,USA,2000,2001,Robert Zemeckis,Dramat,143,7.5,529 737,60 081,429 632 142,90 000 000,233 632 142,7.8,434 973,2,0,0,0,0,0,1,0
Buntownik z wyboru,USA,1997,1998,Gus Van Sant,Dramat,126,8.1,229 520,60 372,225 933 435,10 000 000,138 433 435,8.3,686 477,7,2,0,0,0,0,1,0
Szklana pulapka,USA,1988,1989,John McTiernan,Sensacyjny,131,7.5,197 596,11 746,140 767 956,28 000 000,83 008 852,8.2,655 121,4,0,0,0,0,0,0,0
Uprowadzona,Francja,2008,2008,Pierre Morel,Sensacyjny,93,7.7,316 011,27 997,226 830 568,25 000 000,145 000 989,7.8,513 142,0,0,0,0,0,0,0,0
Indiana Jones i ostatnia krucjata,USA,1989,1990,Steven Spielberg,Przygodowy,127,7.7,221 437,15 404,474 171 806,48 000 000,197 171 806,8.3,573 824,2,1,0,0,0,0,0,0
Za wszelka cene,USA,2004,2005,Clint Eastwood,Dramat,132,7.8,252 023,77 229,216 763 646,30 000 000,100 492 203,8.1,535 671,3,4,0,0,0,0,2,0
Mr. & Mrs. Smith,USA,2005,2005,Doug Liman,Akcja,120,6.7,387 122,19 067,478 207 520,110 000 000,186 336 279,6.5,383 917,0,0,0,0,0,0,0,0
Trainspotting,Wielka Brytania,1996,1997,Danny Boyle,Dramat,94,7.8,205 579,62 201,71 991 080,3 500 000,16 501 785,8.2,537 621,1,0,0,0,0,0,0,1
Siedem dusz,USA,2008,2009,Gabriele Muccino,Dramat,123,8,439 196,100 936,168 168 201,55 000 000,69 951 824,7.7,252 368,0,0,0,0,0,0,0,0
Kac Vegas w Bangkoku,USA,2011,2011,Todd Philllips,Komedia,102,7,282 645,12 258,586 764 305,80 000 000,254 464 305,6.5,405 652,0,0,2,0,0,0,0,0
Dzien Niepodleglosci,USA,1996,1996,Roland Emmerich,Akcja,145,7.2,208 048,16 023,817 400 891,75 000 000,306 169 268,7,465 245,1,1,1,0,0,0,0,0
Drive,USA,2011,2011,Nicolas Winding Refn,Akcja,100,7.1,189 227,39 127,76 175 166,15 000 000,35 060 689,7.8,479 981,1,0,0,0,1,1,0,0
Labirynt,USA,2013,2013,Denic Villeneuve,Thriller,153,7.9,193 261,49 490,122 126 687,46 000 000,61 002 302,8.1,460 205,1,0,0,0,0,0,0,0
Oceans Eleven Ryzykowna gra,USA,2001,2002,Steven Soderbergh,Komedia,134,7.6,194 185,15 694,450 717 150,85 000 000,183 417 150,7.8,438 872,0,0,0,0,0,0,0,0
Operacja Argo,USA,2012,2012,Ben Affleck,Thriller,120,7.3,121 997,29 068,232 325 503,44 500 000,136 025 503,7.7,496 646,4,3,0,0,0,0,2,3
Goraczka,USA,1995,1996,Michael Mann,Sensacyjny,170,8.1,131 440,43 290,187 436 818,60 000 000,67 436 818,8.2,476 008,0,0,0,0,0,0,0,0
Psychoza,USA,1960,1960,Alfred Hitchcock ,Thriller,109,8.1,116 175,57 346,50 000 000,806 947,32 000 000,8.5,475 984,4,0,0,0,0,0,1,0
Ostatni samuraj,USA,2003,2004,Edward Zwick,Dramat,154,7.6,247 168,21 444,456 758 981,140 000 000,111 110 575,7.7,343 812,4,0,0,0,0,0,0,0
Stowarzyszenie Umarlych Poetow,USA,1989,1990,Peter Weir,Dramat,128,7.8,277 632,71 969,235 860 116,16 400 000,95 860 116,8,310 704,3,1,0,0,0,0,0,2
Armageddon,USA,1998,1998,Michael Bay,Katastroficzny,150,7.5,232 146,15 053,553 709 788,140 000 000,201 578 182,6.6,347 383,4,0,6,1,0,0,0,0
Terminal,USA,2004,2004,Steven Spielberg,Komedia,128,7.4,214 565,23 527,219 417 255,60 000 000,77 872 883,7.3,335 126,0,0,0,0,0,0,0,0
Nienawistna osemka,USA,2015,2016,Quentin Tarantino,Western,187,7.6,168 137,48 709,155 760 117,44 000 000,54 117 416,7.8,371 204,2,1,0,0,0,0,1,1
Millerowie,USA,2013,2013,Rawson Marshall Thurber,Komedia,110,7.1,188 097,13 403,269 994 119,37 000 000,150 394 119,7,346 004,0,0,0,0,0,0,0,1
Obecnosc,USA,2013,2013,James Wan ,Horror,112,7.4,184 800,18 891,318 000 141,20 000 000,137 400 141,7.5,348 644,0,0,0,0,0,0,0,0
American Psycho,USA,2000,2000,Mary Harron,Thriller,101,7.3,134 199,53 895,34 266 564,7 000 000,15 070 285,7.6,395 828,0,0,0,0,0,0,0,0
Zapach kobiety,USA,1992,1992,Martin Brest,Dramat,157,8.1,313 949,92 559,134 095 253,31 000 000,63 895 607,8,212 417,3,1,0,0,0,0,3,0
Ace Ventura Psi detektyw,USA,1994,1994,Tom Shadyac,Komedia,86,6.3,286 848,7 842,107 217 396,12 000 000,72 217 000,6.9,235 911,0,0,1,0,0,0,0,0
Indiana Jones i swiatynia Zaglady,USA,1984,1990,Steven Spielberg,Przygodowy,118,7.6,136 807,7 515,333 107 271,28 000 000,179 870 271,7.6,367 270,1,1,0,0,0,0,0,1
Indiana Jones i Krolestwo Krysztalowej Czaszki,USA,2008,2008,Steven Spielberg,Przygodowy,122,6.6,122 442,5 912,786 636 033,185 000 000,317 101 119,6.2,362 091,0,0,0,1,0,0,0,0
Skarb narodow,USA,2004,2005,Jon Turteltaub,Przygodowy,131,7.1,210 607,11 747,347 512 318,100 000 000,173 008 894,6.9,270 487,0,0,0,0,0,0,0,0
Oldboy,Korea Poludniowa,2003,2004,Chan-wook Park  ,Thriller,120,7.7,72 868,37 819,14 272 524,3 000 000,707 481,8.4,406 776,0,0,0,0,1,0,0,0
1408,USA,2007,2007,Mikael Hafstrom,Horror,112,6.8,250 233,59 489,131 998 242,25 000 000,71 985 628,6.8,228 717,0,0,0,0,0,0,0,0
Gra,USA,1997,1997,David Fincher,Thriller,128,7.9,181 400,68 173,109 423 648,50 000 000,48 323 648,7.8,289 075,0,0,0,0,0,0,0,0
Szybcy i wsciekli 5,USA,2011,2011,Justin Lin,Akcja,130,7.5,160 251,12 713,626 137 675,125 000 000,209 837 675,7.3,310 074,0,0,0,0,0,0,0,0
Szybcy i wsciekli 6,USA,2013,2013,Justin Lin,Akcja,130,7.4,138 606,14 348,788 679 850,160 000 000,238 679 850,7.1,327 734,0,0,0,0,0,0,0,0
Zywot Briana,Wielka Brytania,1979,2004,Terry Jones,Komedia,94,7.9,157 850,31 972,20 045 115,4 000 000,20 045 115,8.1,300 303,0,0,0,0,0,0,0,0
Mgla,USA,2007,2008,Frank Darabont,Horror,126,5.8,215 236,49 814,57 293 715,18 000 000,25 593 755,7.2,242 419,0,0,0,0,0,0,0,0
Filadelfia,USA,1993,1993,Jonathan Demme,Dramat,125,7.9,262 937,81 706,206 678 440,26 000 000,77 324 422,7.7,193 294,3,2,0,0,1,0,2,0
Straszny film,USA,2000,2000,Keenen Ivory Wayans,Komedia,90,6.3,249 676,8 526,278 019 771,19 000 000,157 019 771,6.2,201 500,0,0,0,0,0,0,0,0
Anioly i demony,USA,2009,2009,Ron Howard,Thriller,138,7,207 189,18 436,485 930 816,150 000 000,133 375 846,6.7,235 392,0,0,0,0,0,0,0,0
50 pierwszych randek,USA,2004,2004,Peter Segal,Komedia,99,6.9,149 456,9 412,196 482 882,75 000 000,120 908 074,6.8,286 328,0,0,0,0,0,0,0,0
Apollo 13,USA,1995,1995,Ron Howard,Dramat,140,7.4,208 869,25 829,355 237 933,62 000 000,173 837 933,7.6,226 909,2,7,0,0,0,0,0,2
Latwa dziewczyna,USA,2010,2010,Will Gluck,Komedia,92,6.6,128 976,11 490,74 952 305,8 000 000,58 401 464,7.1,305 110,0,0,0,0,0,0,0,0
Oceans Twelve Dogrywka,USA,2004,2005,Steven Soderbergh,Komedia,125,7.2,121 723,9 429,362 744 280,110 000 000,125 544 280,6.5,308 523,0,0,0,0,0,0,0,0
Niezniszczalni,USA,2010,2010,Sylvester Stallone,Akcja,103,6.7,138 566,13 488,274 470 394,80 000 000,103 068 524,6.5,290 970,0,0,1,0,0,0,0,0
Narzeczony mimo woli,USA,2009,2009,Anne Fletcher,Komedia,110,7.1,178 530,11 491,317 375 031,40 000 000,163 958 031,6.7,250 286,0,0,0,0,0,0,0,0
Prawo zemsty,USA,2009,2009,F. Gary Gray,Thriller,109,7.9,193 458,42 205,126 690 726,50 000 000,73 357 727,7.4,234 669,0,0,0,0,0,0,0,0
Zanim odejda wody,USA,2010,2010,Todd Phillips,Komedia,100,6.7,135 791,14 051,211 780 824,65 000 000,100 539 043,6.6,288 908,0,0,0,0,0,0,0,0
Piecdziesiat twarzy Greya,USA,2015,2015,Sam Taylor-Johnson,Melodramat,124,4.5,158 507,15 417,570 489 358,40 000 000,166 167 230,4.1,253 285,1,0,6,1,0,0,0,0
Speed Niebezpieczna predkosc,USA,1994,1994,Jan De Bont,Sensacyjny,116,6.7,121 512,5 207,350 448 145,30 000 000,121 248 145,7.2,281 993,1,2,0,0,0,0,0,2
Pretty Woman,USA,1990,1990,Garry Marshall,Komedia,119,7.4,166 486,10 663,463 406 268,14 000 000,178 406 268,7,236 423,1,0,0,0,0,0,1,0
Poznaj moich rodzicow,USA,2004,2005,Jay Roach,Komedia,115,6.7,176 305,12 663,516 642 939,80 000 000,279 261 160,6.3,225 513,0,0,0,0,0,0,0,0
Lot,USA,2012,2013,Robert Zemeckis,Dramat,138,7.4,118 363,18 919,161 772 375,31 000 000,93 772 375,7.3,283 360,2,0,0,0,0,0,0,0
Kac Vegas III,USA,2013,2013,Todd Phillips,Komedia,100,6.2,149 402,12 872,362 000 072,103 000 000,112 200 072,5.9,248 448,0,0,1,0,0,0,0,0
Osada,USA,2004,2004,M. Night Shyamalan,Thriller,108,6.2,174 933,27 652,256 697 520,60 000 000,114 197 520,6.5,211 335,1,0,0,0,0,0,0,0
Telefon,USA,2002,2003,Joel Schumacher,Thriller,81,7,160 968,18 624,97 837 138,13 000 000,46 566 212,7.1,224 065,0,0,0,0,0,0,0,0
Sekretne okno,USA,2004,2004,David Koepp,Thriller,95,7.1,220 093,107 426,92 913 171,40 000 000,48 022 900,6.6,159 419,0,0,0,0,0,0,0,0
